listing_id,date,available,price,,Avg_Price,Median_Price,,
25001145,7/1/2018,t,$25.00 ,,285.8259298,225,,
3705824,7/1/2018,t,$33.00 ,,,,,
7093184,7/1/2018,t,$33.00 ,,,,,
13298137,7/1/2018,t,$33.00 ,,,,,
7161203,7/1/2018,t,$34.00 ,,,,,
13422887,7/1/2018,t,$34.00 ,,,,,
21548729,7/1/2018,t,$35.00 ,,,,,
6800522,7/1/2018,t,$35.00 ,,,,,
17969508,7/1/2018,t,$35.00 ,,,,,v
5601743,7/1/2018,t,$36.00 ,,,,,
23251910,7/1/2018,t,$36.00 ,,,,,
21597878,7/1/2018,t,$36.00 ,,,,,
17210305,7/1/2018,t,$36.00 ,,,,,
4593985,7/1/2018,t,$36.00 ,,,,,
21253564,7/1/2018,t,$36.00 ,,,,,
17430142,7/1/2018,t,$36.00 ,,,,,
24178915,7/1/2018,t,$38.00 ,,,,,
6819620,7/1/2018,t,$38.00 ,,,,,
20687802,7/1/2018,t,$38.00 ,,,,,
16545081,7/1/2018,t,$38.00 ,,,,,
24373073,7/1/2018,t,$39.00 ,,,,,
18175604,7/1/2018,t,$39.00 ,,,,,
18220200,7/1/2018,t,$39.00 ,,,,,
19182289,7/1/2018,t,$39.00 ,,,,,
5495267,7/1/2018,t,$39.00 ,,,,,
12023024,7/1/2018,t,$40.00 ,,,,,
23429071,7/1/2018,t,$40.00 ,,,,,
5358934,7/1/2018,t,$40.00 ,,,,,
4624582,7/1/2018,t,$40.00 ,,,,,
24470246,7/1/2018,t,$40.00 ,,,,,
13239882,7/1/2018,t,$40.00 ,,,,,
15453527,7/1/2018,t,$40.00 ,,,,,
4593974,7/1/2018,t,$40.00 ,,,,,
20445979,7/1/2018,t,$41.00 ,,,,,
17779084,7/1/2018,t,$41.00 ,,,,,
15177273,7/1/2018,t,$41.00 ,,,,,
22147894,7/1/2018,t,$42.00 ,,,,,
22147121,7/1/2018,t,$43.00 ,,,,,
728238,7/1/2018,t,$44.00 ,,,,,
18790023,7/1/2018,t,$45.00 ,,,,,
21154569,7/1/2018,t,$45.00 ,,,,,
594693,7/1/2018,t,$45.00 ,,,,,
18886077,7/1/2018,t,$45.00 ,,,,,
24077632,7/1/2018,t,$45.00 ,,,,,
21804259,7/1/2018,t,$45.00 ,,,,,
24219045,7/1/2018,t,$45.00 ,,,,,
23827266,7/1/2018,t,$45.00 ,,,,,
24855960,7/1/2018,t,$45.00 ,,,,,
22697347,7/1/2018,t,$46.00 ,,,,,
12855343,7/1/2018,t,$46.00 ,,,,,
